ID,Name,Cost,RAM,Storage,CpuType,Processor,OS,ScreenSize,Weight,BatteryLife,Backlit,Touchscreen,TwoInOne,Portability,Benchmark,Warranty,Reviews,Brand,lifespan
1,"Macbook Pro",2399.99,16,512,"Intel","i7","macOS",13.3,2.8,10,True,False,False,55,10000,24,4.5,"Apple",7.5
2,"Dell XPS",1399.99,8,256,"Intel","i5","Windows",15.6,4.2,8,True,True,False,45,7500,12,4.3,"Dell",5.5
3,"HP Spectre",1099.99,16,512,"AMD","Ryzen 7","Windows",13.3,2.9,13,True,True,True,60,8500,12,4.6,"HP",6.0
4,"Lenovo ThinkPad",999.99,8,256,"Intel","i5","Windows",14,3.7,10,True,False,False,50,7000,36,4.4,"Lenovo",6.5
5,"Asus ZenBook",899.99,8,256,"Intel","i7","Windows",13.3,2.6,12,True,False,False,55,7500,12,4.2,"Asus",6.0
6,"Acer Aspire",599.99,8,256,"Intel","i5","Windows",15.6,5.3,7,True,False,False,40,6500,12,4.1,"Acer",4.0
7,"Macbook Air",999.99,8,256,"Apple","M1","macOS",13.3,2.8,15,True,False,False,55,8500,24,4.7,"Apple",7.0
8,"MSI GF63",799.99,16,512,"Intel","i7","Windows",15.6,4.1,7,True,False,False,40,8000,12,4.3,"MSI",5.5
9,"Huawei MateBook",1199.99,16,512,"Intel","i3","Windows",14,2.9,10,True,True,False,55,7200,24,4.6,"Huawei",5.5
10,"Razer Blade",2399.99,16,512,"Intel","i7","Windows",15.6,4.5,6,True,True,False,40,10000,12,4.4,"Razer",5.5
11,"Samsung Galaxy Book Pro",1199.99,8,256,"Intel","i5","Windows",13.3,2.3,20,True,True,False,60,7000,24,4.2,"Samsung",6.0
12,"Google Pixelbook Go",649.99,8,256,"Intel","i5","Chrome OS",13.3,2.3,12,False,False,False,55,6500,12,4.6,"Google",5.0
13,"Dell Inspiron",499.99,8,256,"Intel","i3","Windows",15.6,4.8,6,False,False,False,35,6000,12,4.0,"Dell",4.5
14,"Asus ROG Zephyrus",1899.99,16,512,"AMD","Ryzen 7","Windows",15.6,4.6,8,True,False,False,40,6000,12,4.5,"Asus",6.0
15,"Lenovo Yoga",899.99,8,256,"Intel","i5","Windows",14,3.1,9,True,True,True,50,7000,12,4.4,"Lenovo",5.5
16,"HP Pavilion",799.99,8,256,"AMD","Ryzen 5","Windows",15.6,4.2,9,True,False,False,45,6500,12,4.1,"HP",5.0
17,"Acer Predator Helios",1199.99,16,512,"Intel","i7","Windows",15.6,5.5,7,True,False,False,35,8500,12,4.3,"Acer",5.5
18,"Lenovo Legion",1399.99,16,512,"AMD","Ryzen 7","Windows",15.6,5.5,6,True,False,False,35,9000,12,4.2,"Lenovo",5.5
19,"Macbook Pro 16",2799.99,16,1024,"Apple","M1","macOS",16,4.7,11,True,False,False,40,10000,24,4.7,"Apple",7.5
20,"Dell Alienware",2299.99,32,1024,"Intel","i9","Windows",17.3,6.6,4,True,False,False,30,10500,12,4.4,"Dell",6.0
21,"Microsoft Surface Pro",1199.99,8,256,"Intel","i5","Windows",12.3,1.7,10.5,True,True,True,60,7000,12,4.5,"Microsoft",6.0
22,"HP Elite Dragonfly",1599.99,16,512,"Intel","i7","Windows",13.3,2.2,16,True,True,False,60,7500,36,4.6,"HP",6.5
23,"Lenovo IdeaPad",699.99,8,256,"AMD","Ryzen 5","Windows",15.6,4.4,7,True,False,False,40,6500,12,4.2,"Lenovo",5.0
24,"Asus VivoBook",499.99,8,256,"Intel","i3","Windows",15.6,3.7,6,False,False,False,40,6000,12,4.1,"Asus",4.5
25,"Razer Blade Stealth",1699.99,16,512,"Intel","i7","Windows",13.3,2.9,10,True,True,False,55,8000,12,4.5,"Razer",6.0
26,"Dell Latitude",1299.99,8,256,"Intel","i5","Windows",14,2.9,15,True,False,False,55,7000,36,4.3,"Dell",6.0
27,"Macbook Air M1",999.99,8,256,"Apple","M1","macOS",13.3,2.8,18,True,False,False,60,8000,24,4.6,"Apple",5.0
28,"MSI Prestige",1399.99,16,512,"Intel","i7","Windows",14,3.6,10,True,True,False,55,8000,12,4.4,"MSI",4.0
29,"Acer Swift",899.99,8,256,"AMD","Ryzen 7","Windows",14,2.7,11,True,False,False,55,7000,12,4.5,"Acer",4.0
30,"LG Gram",1199.99,16,512,"Intel","i5","Windows",14,2.2,17,True,False,False,60,7200,12,4.4,"LG",5.0
